tf,rapida,lenta,modo,toques,razao,stop_pct,stop_pts,alvo_pts,n_tr,n_ho,acerto_ho,acerto_neutro,"sh_tr|0,60 pts (pedido)","sh_ho|0,60 pts (pedido)","ret_ho|0,60 pts (pedido)","usd_ho|0,60 pts (pedido)","sh_tr|15,82 pts medidos (0,0145%)","sh_ho|15,82 pts medidos (0,0145%)","ret_ho|15,82 pts medidos (0,0145%)","usd_ho|15,82 pts medidos (0,0145%)",sh_tr|30 pts (folga slippage),sh_ho|30 pts (folga slippage),ret_ho|30 pts (folga slippage),usd_ho|30 pts (folga slippage)
5,10,30,0,1,0.75,0.008,446.25228145371346,334.68921109028514,5289,1972,0.5745436105476673,0.5714285714285714,-0.02370103696230834,0.00449015145612561,0.06130428055934463,13.040355200000008,-0.0431185339447092,-0.014696863744857644,-0.2006590639675146,-140.11037556192267,-0.06186771972144977,-0.03351607060030812,-0.457601259104012,-287.9899660931536
5,10,30,0,1,1.0,0.008,446.25228145371346,446.25228145371346,4813,1751,0.4894346087949743,0.5,-0.037263953236027096,-0.022690830999062397,-0.31787382068251746,-171.21325280000005,-0.05414426338655038,-0.0392989125297766,-0.5505334792125343,-307.6184866372853,-0.07044000558115746,-0.0555848012837409,-0.7786804283423558,-439.2999844762685
5,10,30,0,1,1.3333333333333333,0.008,446.25228145371346,595.0030419382846,4393,1536,0.4192708333333333,0.4285714285714286,-0.04641007330184397,-0.020189987227791535,-0.2857387246663744,-179.78141280000017,-0.06113676350829243,-0.034619064599609214,-0.4899467489456235,-300.2064488407819,-0.07534697726445927,-0.048760261979620086,-0.6900802234535658,-416.40808544370844
5,10,30,0,1,2.0,0.008,446.25228145371346,892.5045629074269,3790,1255,0.3115537848605578,0.3333333333333333,-0.04666657309074416,-0.04812408826638132,-0.6715625170111823,-481.8781952,-0.05880756228033945,-0.06008119746801905,-0.8384326193099556,-580.3145457267541,-0.07052240055649135,-0.07179890513431023,-1.001953133963253,-675.2957625705826
5,10,30,0,1,0.2,0.015,836.7230277257128,167.34460554514257,5312,2023,0.8304498269896193,0.8333333333333334,-0.006410240717955254,-0.009541811985141337,-0.1304087258956963,-129.35974919999984,-0.026435270555144667,-0.02919916313813857,-0.39907266044943374,-286.29167669958025,-0.045772666110234735,-0.04848519280728741,-0.6626599123567016,-437.8347596290397
5,10,30,0,1,0.25,0.015,836.7230277257128,209.1807569314282,4936,1882,0.80605738575983,0.8,-0.00027140426252483444,0.01363343269073624,0.19026525172699094,69.23102550000002,-0.01828113371189907,-0.00428682594644225,-0.05982624664648333,-77.4460652890921,-0.03566661714030168,-0.0218576541351226,-0.3050418710110294,-219.0390935690748
5,10,30,0,1,0.3333333333333333,0.015,836.7230277257128,278.90767590857087,4383,1634,0.7570379436964504,0.75,-0.0018543290118465535,0.014953832739885233,0.20965075326881624,130.0938854999996,-0.017435272079253248,-0.0005367976470265181,-0.007525816695193074,2.3750169829571277,-0.03247303911400542,-0.015722592866390415,-0.2204282238214788,-120.89137211765399
5,10,30,0,1,0.5,0.015,836.7230277257128,418.3615138628564,3661,1315,0.6555133079847909,0.6666666666666666,-0.012900372007055433,-0.02462969364834836,-0.3464224186189527,-220.49144550000005,-0.02557043509591742,-0.03705237443717874,-0.5211544975239766,-322.86467094678693,-0.03780230447734056,-0.049233960181892904,-0.6924927260252413,-421.6973218213411
5,10,30,0,1,0.75,0.015,836.7230277257128,627.5422707942846,3039,1048,0.5486641221374046,0.5714285714285714,-0.024370841571540125,-0.04667588796498251,-0.6392826215325996,-370.30137525,-0.034728318373289775,-0.056847178462533246,-0.7785921394715799,-452.12495464642785,-0.044725514978622316,-0.06681703022955536,-0.915141541349394,-531.1023374429739
5,10,30,0,1,1.0,0.015,836.7230277257128,836.7230277257128,2652,892,0.4876681614349776,0.5,-0.02256203528208691,-0.025485374859735344,-0.3410791829134474,-254.9744159999999,-0.03156286065408831,-0.03434583825451229,-0.4596652561151229,-324.72469855180526,-0.04024964925686995,-0.04302995824324613,-0.5758886019882248,-392.0414094610725
