rapida,lenta,modo,razao,stop_pct,alvo_pct,stop_pts,alvo_pts,n_tr,sharpe_tr,ret_tr,acerto_tr,n_ho,sharpe_ho,ret_ho,acerto_ho
10,200,0,2.0,0.015,0.03,836.7237546576039,1673.4475093152078,1988,-0.05170093134870787,-2.228799999999998,0.36619718309859156,621,-0.18088356158874044,-2.334599999999999,0.3075684380032206
10,200,0,3.0,0.015,0.045,836.7237546576039,2510.1712639728116,1469,-0.09548106477888345,-3.654399999999999,0.2518720217835262,461,-0.16188376737647978,-1.8736000000000002,0.22559652928416485
10,200,0,0.75,0.025,0.018750000000000003,1394.5395910960067,1045.904693322005,1931,-0.09886669022902478,-4.120599999999995,0.5820818228896945,570,-0.16758464478732807,-2.0819999999999985,0.5473684210526316
10,200,0,1.0,0.025,0.025,1394.5395910960067,1394.5395910960067,1558,-0.08985944251899369,-3.5007999999999972,0.5070603337612324,477,-0.11436839839738869,-1.365199999999999,0.4947589098532495
10,200,0,1.3333333333333333,0.025,0.03333333333333333,1394.5395910960067,1859.386121461342,1255,-0.07354246942441038,-2.6713333333333322,0.4366533864541833,375,-0.13793291169170072,-1.4833333333333332,0.4053333333333333
10,200,0,2.0,0.025,0.05,1394.5395910960067,2789.0791821920134,900,-0.06626729139824769,-2.115,0.33666666666666667,270,-0.1310743485161755,-1.227,0.3074074074074074
10,200,0,3.0,0.025,0.07500000000000001,1394.5395910960067,4183.61877328802,652,-0.052705936211320886,-1.4951999999999999,0.25306748466257667,197,-0.08757611808147713,-0.7371999999999999,0.23857868020304568
10,200,0,0.75,0.04,0.03,2231.2633457536103,1673.4475093152078,924,-0.04898877311971475,-1.562399999999998,0.5844155844155844,258,-0.10904912543802572,-0.9807999999999995,0.5542635658914729
10,200,0,1.0,0.04,0.04,2231.2633457536103,2231.2633457536103,729,-0.07181109692470773,-2.0953999999999984,0.49657064471879286,205,-0.08919848770612215,-0.7329999999999997,0.4878048780487805
10,200,0,1.3333333333333333,0.04,0.05333333333333333,2231.2633457536103,2975.0177943381473,579,-0.08502121107647781,-2.2654000000000005,0.41450777202072536,166,-0.07013971565954374,-0.5382666666666669,0.42168674698795183
10,200,0,2.0,0.04,0.08,2231.2633457536103,4462.526691507221,410,-0.0337069129981076,-0.7859999999999994,0.33902439024390246,110,-0.03926525980274501,-0.24599999999999983,0.33636363636363636
10,200,0,3.0,0.04,0.12,2231.2633457536103,6693.790037260831,294,0.020691678517392887,0.4355999999999995,0.2755102040816326,76,-0.25114261970604035,-1.1576,0.17105263157894737
10,200,0,0.75,0.06,0.045,3346.8950186304155,2510.1712639728116,474,-0.12083491840298684,-3.0024000000000006,0.5358649789029536,130,-0.16106520003046396,-1.1030000000000002,0.5153846153846153
10,200,0,1.0,0.06,0.06,3346.8950186304155,3346.8950186304155,385,-0.08224987682083319,-1.9009999999999994,0.4805194805194805,98,-0.10421850870215704,-0.6147999999999998,0.46938775510204084
10,200,0,1.3333333333333333,0.06,0.07999999999999999,3346.8950186304155,4462.526691507221,298,-0.05599777536999259,-1.1548000000000025,0.41946308724832215,79,-0.16502936802202214,-0.8854000000000006,0.3670886075949367
